id,suburb,value
801011001,Aranda,0.450
801011002,Belconnen,0.403
801011003,Bruce,0.445
801011004,Charnwood,0.360
801011005,Cook,0.404
801011006,Dunlop,0.351
801011007,Evatt,0.392
801011008,Florey,0.410
801011009,Flynn,0.391
801011010,Fraser,0.401
801011011,Giralang,0.410
801011013,Hawker,0.456
801011014,Higgins,0.371
801011015,Holt,0.368
801011016,Kaleen,0.419
801011017,Latham,0.375
801011018,Lawson,0.393
801011019,Macgregor,0.348
801011020,Macquarie,0.434
801011021,McKellar,0.437
801011022,Melba,0.415
801011023,Page,0.416
801011024,Scullin,0.383
801011025,Spence,0.381
801011026,Weetangera,0.444
801041034,Amaroo,0.393
801041035,Bonner,0.374
801041036,Casey,0.356
801041037,Crace,0.386
801041038,Forde,0.386
801041039,Franklin,0.401
801041040,Gungahlin,0.419
801041044,Harrison,0.395
801041046,Ngunnawal,0.374
801041047,Nicholls,0.443
801041048,Palmerston,0.398
801041120,Moncrieff,0.348
801041122,Throsby,0.403
801051049,Acton,0.620
801051050,Ainslie,0.464
801051051,Braddon,0.385
801051053,Civic,0.532
801051054,Dickson,0.420
801051055,Downer,0.425
801051056,Hackett,0.430
801051057,Lyneham,0.413
801051058,O'Connor,0.468
801051060,Turner,0.434
801051061,Watson,0.406
801051124,Campbell,0.452
801051125,Duntroon,0.312
801051127,Reid,0.517
801061062,Deakin,0.541
801061063,Forrest,0.559
801061064,Griffith,0.462
801061067,Narrabundah,0.444
801061069,Red Hill,0.535
801061070,Yarralumla,0.535
801061129,Barton,0.406
801061131,Kingston,0.377
801071071,Banks,0.352
801071072,Bonython,0.375
801071073,Calwell,0.385
801071074,Chisholm,0.369
801071075,Conder,0.379
801071076,Fadden,0.422
801071077,Gilmore,0.360
801071078,Gordon,0.367
801071079,Gowrie,0.398
801071080,Greenway,0.367
801071081,Isabella Plains,0.365
801071082,Kambah,0.400
801071083,Macarthur,0.389
801071084,Monash,0.395
801071086,Oxley,0.386
801071087,Richardson,0.359
801071088,Theodore,0.353
801071090,Wanniassa,0.399
801081091,Chapman,0.454
801081092,Duffy,0.427
801081093,Fisher,0.405
801081094,Holder,0.392
801081095,Rivett,0.390
801081096,Stirling,0.412
801081097,Waramanga,0.401
801081098,Weston,0.424
801091099,Chifley,0.417
801091100,Curtin,0.451
801091101,Farrer,0.460
801091102,Garran,0.483
801091103,Hughes,0.473
801091104,Isaacs,0.444
801091105,Lyons,0.450
801091106,Mawson,0.433
801091107,O'Malley,0.550
801091108,Pearce,0.445
801091109,Phillip,0.340
801091110,Torrens,0.419
801101135,Coombs,0.361
801101139,Wright,0.348
